Player,Pitches,Appearances,Stuff+,Location+,Pitching+,CSW%,xwOBAcon,Z-Whiff%,Chase%
Seth Lugo,730,46,101.8,102.6,103.9,32.7,0.402,32.1,21.7
Eric Hanhold,188,10,101.7,93.6,98.5,25,0.405,23.8,17
Michael King,1007,22,101.7,101.9,103.7,28.8,0.384,31.8,19.2
Garrett Whitlock,1140,46,101.7,104.6,103.5,30.4,0.333,37.6,21.8
J.B. Wendelken,748,46,101.7,100,99.8,25.4,0.373,32.6,18.2
Andrew Heaney,2251,29,101.6,101.2,102.3,28.5,0.4,37.4,22.9
Alek Manoah,1843,20,101.6,98.4,100.6,28.4,0.324,37,20.8
Shane Bieber,1552,16,101.5,102,103.1,33.5,0.403,31.1,27.2
Corbin Martin,342,5,101.5,93.5,92.6,21.6,0.479,18.5,16.9
Rex Brothers,997,57,101.4,90,96.1,27.9,0.45,37.8,20.2
Harold Castro,1,1,101.4,120.9,124.8,100,NA,NA,0
Joe Smith,649,49,101.4,103.9,105.7,27.6,0.33,19.3,22
Anthony DeSclafani,2542,31,101.4,102.5,102.6,27.6,0.36,24.2,20.1
Tony Gonsolin,990,15,101.4,93.4,96.1,28.4,0.329,31.8,20
Lucas Gilbreath,731,47,101.4,94.1,98.8,28.5,0.303,32.6,19.2
Vince Velasquez,1750,25,101.3,99.1,99.5,26.9,0.407,35.9,17.1
Dillon Maples,563,28,101.3,82,91.3,30.4,0.32,27.1,16.2
Jose Urquidy,1630,20,101.3,106.5,107.1,28.4,0.36,32.3,21.4
Victor Gonzalez,555,44,101.3,96.9,100.3,28.6,0.353,19.2,26.2
John Curtiss,698,41,101.2,102.8,102.9,30.7,0.356,26.8,22.2
Drew Smyly,2135,29,101.2,103.6,97.9,28.1,0.403,25.6,23
Austin Warren,286,15,101.2,100.2,98.9,29.4,0.289,15.4,21.6
Domingo Tapia,516,34,101.1,99.8,99.9,26,0.33,16.7,19.2
Ryan Tepera,947,65,101.1,99.2,99.5,30.7,0.304,30.6,24.7
Jordan Holloway,661,13,101.1,95.6,96.5,29.5,0.315,27,17.3
Akeem Bostick,14,1,101.1,88.9,95.4,28.6,0.196,0,20
Drew Steckenrider,987,61,101.1,103.5,102.1,26.2,0.324,27.8,19.8
T.J. McFarland,511,38,101.1,98.1,96.2,21.3,0.321,11.6,22.1
Ryan Yarbrough,2480,30,101.1,105.6,100.7,27.2,0.37,26.6,23.9
Miguel Diaz,695,25,101.1,97.4,97.3,27.3,0.423,25,15.1
Yoan Lopez,212,13,101,94.5,95.7,26.4,0.481,20.5,22.7
Joe Biagini,41,1,101,78.1,83,29.3,0.204,33.3,25
Kervin Castro,201,10,100.9,99.2,102,32.8,0.368,31.7,27.1
Carlos Hernandez,1433,24,100.9,97.1,98.8,24.5,0.343,30.4,18.6
Daniel Zamora,65,4,100.9,95.9,85.6,29.2,0.341,20,26.8
Bryan Mitchell,66,2,100.8,107,99.5,27.3,0.313,40,21.1
Jandel Gustave,293,14,100.8,98.2,99.9,24.2,0.356,13.7,18.4
Madison Bumgarner,2284,26,100.8,101.8,100.1,28,0.363,24.6,19.5
Vladimir Gutierrez,1830,22,100.8,100.4,100.1,26.5,0.346,25.8,20.7
Jhonathan Diaz,237,3,100.8,96.4,98.9,25.7,0.372,20,17.3
Reiver Sanmartin,180,2,100.8,104.7,104,30.6,0.34,25.9,25.7
Tyler Clippard,410,26,100.7,96.4,95.8,24.4,0.403,30,16.7
Austin Gomber,1839,23,100.7,100,98.7,30.3,0.363,25.9,22.5
Elieser Hernandez,818,11,100.7,103.4,100.4,29,0.398,28.2,18.4
Sean Reid-Foley,371,12,100.6,98.8,100.5,28.8,0.399,33.3,16.5
Nick Mears,451,30,100.6,97.2,98.8,26.6,0.377,36.2,20.4
Touki Toussaint,819,11,100.6,93.7,95.8,28.3,0.401,22.3,17.9
Clarke Schmidt,143,2,100.6,91.4,96.4,23.1,0.309,10,21.8
Keegan Thompson,965,32,100.6,97.5,97.2,25.9,0.398,29.5,18.9
Adam Morgan,442,34,100.5,99.5,101.6,33,0.355,27.7,24.9
Chris Stratton,1374,68,100.5,100.7,100.4,29,0.354,25.1,22.2
Tyler Mahle,3186,33,100.5,103.6,103.1,29.3,0.355,35.8,20
Ryan Helsley,799,51,100.5,95.4,100.6,26.5,0.377,31.3,20.5
Hunter Wood,65,5,100.5,91.5,103.8,30.8,0.378,38.5,20
Angel Perdomo,352,19,100.5,91.9,94.1,31.2,0.455,52.7,12.4
Dietrich Enns,358,9,100.5,103.7,101.7,26,0.316,33.3,24.5
Sam Howard,845,54,100.4,94.3,96.4,32.1,0.363,42,20
Framber Valdez,2083,22,100.4,95.3,98.6,28.8,0.323,18.6,19.7
Pat Valaika,1,1,100.3,62.2,63.1,0,NA,NA,0
Hunter Harvey,139,9,100.3,103.6,97.3,23.7,0.328,10,18.5
Junior Fernandez,370,18,100.3,93.3,93.4,24.9,0.379,34.7,20.3
Jameson Taillon,2371,29,100.2,104.5,103.8,27.1,0.359,31.7,21.8
Keone Kela,202,12,100.2,105.3,101.1,31.7,0.383,25.8,17.7
Aaron Nola,2970,32,100.2,105.3,103.6,31.1,0.371,33.9,21.7
Caleb Thielbar,1102,59,100.1,104.6,104.4,28.8,0.387,39.4,21.3
Domingo German,1575,22,100,101.3,102.5,30.2,0.371,30,26.2
Jose Quijada,490,26,100,100.1,98.7,29.4,0.443,44.8,20
Chris Sale,735,9,99.9,103.5,102.3,30.6,0.358,38.3,21.6
Jordan Montgomery,2566,30,99.8,104.3,101.8,28.5,0.374,32.8,23.4
Taijuan Walker,2543,30,99.8,101.2,101.3,28.2,0.38,29.3,19
Joe Mantiply,615,56,99.8,103,98.3,32.8,0.357,31.4,27.1
German Marquez,2780,32,99.8,98.7,97,28.1,0.361,24.4,21.2
Andres Machado,626,40,99.7,99.3,96.9,26,0.319,27.6,17.5
Glenn Otto,448,6,99.7,103.7,100.8,27.9,0.424,34.2,19
Seth Elledge,221,11,99.7,92.7,92.1,27.6,0.375,33.3,15.7
Jarlin Garcia,985,58,99.7,102.4,101.9,29.8,0.341,25.9,18
Mike Mayers,1229,72,99.7,101.1,101.4,29.3,0.367,34.3,20.5
Phil Maton,1173,65,99.6,99.6,101.8,31.8,0.345,39.4,22.7
Luis Cessa,947,53,99.6,101.6,101.1,29.6,0.338,21.9,25.8
Raynel Espinal,36,1,99.6,87.9,88.2,8.3,0.317,33.3,22.7
Kwang-Hyun Kim,1781,27,99.6,97.7,97.8,26.4,0.348,21.9,19
Danny Duffy,1008,13,99.5,100.8,101.6,28.6,0.387,32.7,23.4
Spencer Patton,705,42,99.5,97.3,98.1,29.4,0.324,36,19.8
Tyler Duffey,1006,64,99.4,101.2,102.2,27.6,0.338,22.8,19.6
Chris Archer,327,6,99.4,99.8,102.7,28.1,0.453,29.2,17.4
Manuel Rodriguez,300,20,99.4,93.6,93.9,26.7,0.364,27.7,22.8
Trevor Megill,459,28,99.3,100.3,100.6,26.6,0.44,20.3,20.6
Dillon Tate,1041,62,99.2,100,100.2,28.2,0.323,23.2,19.4
Griffin Canning,1070,14,99.2,100.5,98,27.1,0.383,33.8,22
Hansel Robles,1167,71,99.2,97.9,98.2,26.2,0.391,35.9,17.5
Austin Slater,6,1,99.2,45.6,64.6,16.7,0.025,NA,20
Keegan Akin,1768,24,99.2,102,99.5,26.1,0.391,32.8,18
Brad Brach,579,35,99.2,98.6,98.9,29.4,0.379,38.3,19.4
Steve Cishek,1234,73,99.1,96.7,99.9,27.1,0.309,26.4,17.3
Paolo Espino,1734,35,99.1,102.2,103.7,27.7,0.398,19.2,22.2
Wander Suero,760,45,99.1,97.6,98.1,26.3,0.422,36.8,18.1
Elvis Peguero,64,3,99.1,91.2,82.2,17.2,0.299,0,8.1
Junior Guerra,1221,41,99.1,94.3,96,26.5,0.323,26.5,20.4
Tylor Megill,1554,18,99.1,102.7,104.2,26.8,0.37,34.3,19
Adbert Alzolay,1952,29,99,102,101.3,28.7,0.398,29.7,22.4
Wade Miley,2575,28,99,100.6,100.9,25.5,0.34,26.9,22.2
Patrick Murphy,486,25,99,94.7,93.2,25.5,0.39,21.4,19
Ryan Feltner,142,2,98.9,90.2,92.5,27.5,0.442,37,14.8
Sammy Long,730,12,98.9,98,99.2,26.4,0.349,24.1,18.8
Jose Alvarez,960,67,98.9,103.5,101.3,27.7,0.304,21.8,21.7
Luis Castillo,3151,33,98.9,102.1,99.3,27.6,0.335,33.5,23.2
Joakim Soria,603,41,98.9,100.4,101.8,27.9,0.365,33.3,23.9
Chris Martin,662,46,98.8,106.7,103,25.4,0.348,25.4,22
Damon Jones,11,1,98.8,71.1,63.2,0,0.406,0,0
James Hoyt,182,9,98.8,92.1,90,33.5,0.345,26.1,26.7
Steven Matz,2556,29,98.8,100.3,98.8,27.9,0.36,26.8,18
Justin Bruihl,254,21,98.8,97.2,101.2,23.6,0.314,19.6,21.9
Casey Mize,2355,30,98.7,98.7,100,26.9,0.381,25.1,19.5
Robbie Ray,3139,32,98.7,102.2,102.5,29.7,0.391,37.1,23.3
Josh Fleming,1628,26,98.7,103.1,100.7,23.7,0.355,16.1,23.6
Jorge Lopez,2166,33,98.7,99,99.9,26.4,0.394,22.3,18.1
Zack Littell,991,63,98.6,102.5,101.9,26.5,0.349,35.5,19.7
Caleb Smith,2065,45,98.6,96.4,95.1,27.6,0.352,38.1,18.2
Anthony Misiewicz,894,66,98.6,102.8,99.9,27.1,0.37,29.3,24.6
Dylan Lee,29,2,98.6,120.3,119,34.5,0.703,28.6,26.7
Jason Foley,198,11,98.6,89.1,87.1,22.7,0.325,27.6,13
Yimi Garcia,941,62,98.6,106.7,104.5,29.4,0.407,37.6,18.9
Brad Hand,1074,68,98.6,96.2,95.7,28,0.376,25,16.5
Pablo Lopez,1668,20,98.5,105.2,102.2,27.8,0.361,33.2,21.9
Tayler Saucedo,432,29,98.5,93.2,96.5,27.1,0.33,17.7,27.2
Angel Rondon,29,2,98.5,110.1,99.8,17.2,0.254,0,13.6
Jordan Weems,133,7,98.5,95.2,95.3,21.8,0.577,31.6,13.6
Colten Brewer,30,1,98.4,80.8,74.4,13.3,0.421,0,19
Zac Rosscup,48,4,98.4,84,89.8,27.1,0.538,33.3,20.7
Will Smith,1057,70,98.3,99.6,100.3,31.7,0.343,30.9,24.3
Jake Brentz,1098,72,98.3,91.2,96.8,29.3,0.367,38.1,19
Wade Davis,766,40,98.3,95.8,95.5,23,0.415,25.8,18.6
Lewis Thorpe,251,5,98.3,100.4,94,25.1,0.327,17.5,20
Cristopher Sanchez,211,7,98.2,94.5,90.1,27,0.283,24.2,22.9
Ramon Rosso,144,7,98.2,107.4,109.1,25.7,0.449,15,23.7
Johan Oviedo,1082,14,98.2,92.5,93.7,26.5,0.382,22.4,19.7
Ryan Burr,593,34,98.1,96.5,98.3,26.3,0.313,22.2,17.1
Cody Poteet,548,7,98.1,101.1,96.7,27.2,0.402,29.8,16.8
Mike Minor,2612,28,98.1,101.2,98.7,26.8,0.381,26.5,20.7
Burch Smith,678,31,98.1,100.7,101.4,25.1,0.353,27.9,16.6
Kyle Barraclough,268,10,98.1,100.8,101.8,29.9,0.373,45.2,16.8
Kyle Keller,652,32,98.1,102.1,98.6,25.6,0.364,27.9,18.6
Lou Trivino,1159,70,98.1,99.1,96.8,25.9,0.35,27.4,18.9
Ryan Brasier,197,13,98.1,100.6,98.4,26.9,0.325,25,20.9
Jeffrey Springs,749,43,98.1,102.4,102.3,33.1,0.394,40.5,24.4
Kyle Zimmer,930,52,98,93.9,98.6,26.6,0.365,29.6,18.1
Jacob Webb,566,34,98,100.6,98.3,28.8,0.359,38.7,23.8
Jose De Leon,347,9,98,95.8,96.1,33.4,0.489,41.7,20.3
Chris Paddack,1868,23,97.9,105.9,101.6,27.4,0.396,32.5,19.8
Daniel Norris,983,56,97.9,93.2,92,26.3,0.356,25.8,21.1
Kenta Maeda,1771,21,97.9,101,99.8,28.2,0.356,31,25.6
Max Kranick,674,9,97.8,99.3,98.7,24.2,0.347,33.1,21.9
Nate Jones,308,20,97.8,97.3,97.5,24,0.393,37.1,19.8
Kirby Snead,111,7,97.8,98.2,97.9,31.5,0.435,23.5,20.9
Jose Marte,84,4,97.8,90.8,98.9,22.6,0.462,33.3,15.1
Richard Lovelady,312,20,97.7,106.5,103.2,31.4,0.315,22,21.4
Nick Anderson,102,6,97.7,98.3,96.6,19.6,0.542,26.3,18.8
Tommy Hunter,107,4,97.7,98.4,98.4,20.6,0.299,5.9,16.4
Austin Pruitt,109,6,97.7,108.4,98.2,20.2,0.419,28,16.4
Rowan Wick,400,22,97.6,96.5,98.8,31.2,0.341,30.4,19.3
Triston McKenzie,1973,25,97.5,96.6,97.4,27.3,0.386,28.9,22.8
Taylor Hearn,1682,42,97.5,97.6,98.5,26.6,0.377,31.3,19.3
John King,693,27,97.5,101.7,102.2,28.4,0.307,27.5,24.9
Chris Flexen,2810,31,97.5,103.5,99,23.7,0.352,21.3,19.7
Andrew Wantz,477,21,97.4,100.8,100.4,30.2,0.413,39.1,18.4
Patrick Sandoval,1443,17,97.4,96.8,97.3,31,0.339,34.6,24.5
A.J. Alexy,424,5,97.4,91.2,91.8,22.9,0.392,31.9,12.9
Aaron Civale,1903,21,97.4,103.9,101.6,26,0.382,24.3,21.8
Tucker Davidson,303,4,97.4,97.5,93.7,27.4,0.428,25,22.5
Kyle Funkhouser,1186,57,97.4,97.7,96.5,26.3,0.331,27.5,19.1
Mike Baumann,185,4,97.3,93.3,95.2,20.5,0.511,21.4,12.5
Kyle Finnegan,1209,68,97.3,103.3,102.4,27.6,0.332,31.9,20.6
Chris Bassitt,2378,27,97.3,103.3,100.9,28,0.343,29,19.3
Isaac Mattson,91,4,97.3,82,94.7,23.1,0.375,30.8,21.1
Taylor Widener,1215,23,97.2,98.4,98.1,25.9,0.407,28.3,17.5
Zack Burdi,177,7,97.2,90.7,95.5,27.7,0.394,30.8,20.6
Brady Singer,2182,26,97.2,99.2,97.9,30.3,0.37,25.4,20.9
Nick Nelson,335,11,97.1,87.5,92.4,26.6,0.39,42.9,19.1
Eli Morgan,1414,18,97.1,104.7,100.8,26.6,0.413,23.9,21.6
Stephen Strasburg,362,5,97.1,95.2,96.5,28.7,0.392,22.8,17
Shane Greene,468,28,97.1,94.1,93.1,26.3,0.327,24.6,18
David Robertson,208,12,96.9,104.3,109.5,31.7,0.431,31.6,13.3
Kutter Crawford,57,1,96.9,105.2,104.5,29.8,0.671,62.5,29.4
Jakob Junis,625,16,96.9,99.8,99.5,29.9,0.45,23.5,19.7
Ronald Bolanos,106,3,96.9,95.9,100.6,33,0.23,53.8,29.7
Brad Boxberger,1023,69,96.7,97.9,97,31.5,0.363,44,17
T.J. Zeuch,286,5,96.7,99.1,91.6,22.7,0.496,21.6,16.8
Erick Fedde,2405,29,96.7,102.1,97.1,25.2,0.393,24.1,18.1
Blake Parker,712,47,96.7,98.7,97.7,27.5,0.35,25.6,21.4
Justin Steele,961,20,96.7,96.4,97.5,28.7,0.344,29.2,20.1
Shaun Anderson,436,16,96.7,94.2,96.8,25.9,0.347,30.1,22.7
NeftalI Feliz,67,5,96.6,98.2,89.3,22.4,0.474,12.5,28.3
Kohl Stewart,237,4,96.6,88.5,91.4,23.6,0.384,15.2,13.7
Matt Foster,729,37,96.6,100.1,98.3,25.2,0.43,32.6,17.5
Alex Cobb,1577,18,96.6,102,100.8,30,0.361,24.9,22.3
Michael Wacha,1972,29,96.6,104.2,102.8,25.5,0.438,27,23.3
Kyle Muller,676,9,96.6,92.7,94.1,29.1,0.329,32.1,19.5
Kyle Tyler,190,5,96.5,96.4,95.6,21.1,0.25,8.8,11.7
Max Fried,2554,28,96.5,101.2,101.9,27.8,0.34,24.4,21.2
Stephen Nogosek,48,1,96.5,106.7,107.6,37.5,0.575,44.4,20
Sean Guenther,360,14,96.5,97.7,96.2,23.6,0.345,16.9,22.2
Alex Wood,2165,26,96.5,101.7,98.6,32.4,0.367,29.4,22.5
Joel Payamps,824,37,96.3,102.4,102.4,25.6,0.292,33.1,21.2
Cody Reed,147,12,96.3,89,89.6,25.2,0.303,17.4,19.8
Justin Wilson,604,42,96.3,99.8,97.1,25.5,0.348,31.8,15.7
Jordan Yamamoto,110,2,96.3,93.7,92.2,23.6,0.344,13.6,20.7
Ranger Suarez,1612,39,96.3,101.9,99.2,28.3,0.287,29,20.8
Thomas Hatch,166,3,96.3,88,88.6,21.1,0.437,15.4,20.4
Hyun-Jin Ryu,2682,31,96.3,106.2,100.7,28.4,0.379,25.7,22.5
Mike Foltynewicz,2232,28,96.2,100.7,98.5,25.2,0.385,21.7,17
Brad Wieck,293,15,96.2,100.7,99.9,30.7,0.33,34.8,12.3
Marcos Diplan,512,23,96.2,98.4,100.2,26.2,0.334,35.4,15.9
Alberto Baldonado,215,14,96.2,94.1,93.3,25.1,0.439,34.3,17.6
Tony Santillan,760,26,96.1,93.7,94,30.4,0.362,29.8,22.4
Reid Detmers,379,5,96.1,95,96.8,26.9,0.396,32,20.5
Connor Seabold,43,1,96.1,96,91.2,20.9,0.419,25,16
Yusmeiro Petit,1076,78,96.1,102.3,96.9,24.6,0.342,28,24.3
Jake Reed,160,10,96.1,100.2,111.3,33.8,0.39,35.5,21.5
Wily Peralta,1554,19,96,96.7,96.9,23.7,0.338,22.4,20.1
Nick Margevicius,253,5,96,99.1,96.6,25.3,0.396,32.4,16.3
Josiah Gray,1209,14,96,96.8,99.1,28.5,0.382,30.3,24.5
Matt Strahm,136,6,96,106.5,105.5,25,0.359,29,25
Kyle Gibson,2880,31,96,98.9,98.1,27,0.334,18.8,20.6
Antonio Santos,176,7,95.9,98.5,95.9,25,0.317,20,13.9
Janson Junk,247,4,95.9,101.6,101.6,25.5,0.41,13.5,21.2
Anthony Banda,610,30,95.9,103.2,98.1,26.9,0.322,33,21.6
Edwin Uceta,359,14,95.9,98.9,101,29.8,0.385,30,19.9
Tyler Kinley,1137,70,95.9,96.5,99.2,26.5,0.346,31.7,22.5
Dan Winkler,786,47,95.8,91.5,95.5,22.1,0.327,42.9,21.1
Mauricio Llovera,145,6,95.8,98.4,94.7,27.6,0.421,18.2,18.1
Rafael Montero,868,44,95.8,105,99.6,24.9,0.309,28.4,21.5
Luke Farrell,468,20,95.8,98.2,97.5,28.4,0.433,24.6,24.3
Alex Colome,1101,67,95.7,95.9,95.5,27.5,0.373,23.2,24.2
Jose Suarez,1573,22,95.7,102.6,98.8,27.6,0.363,32.3,20.8
Nabil Crismatt,1313,44,95.7,98.4,98.6,28.3,0.349,23.1,24.6
Trent Thornton,908,37,95.6,99.5,98.5,26,0.42,33.1,20.4
Brad Peacock,95,2,95.6,82.3,93.6,20,0.413,12.5,15.6
Joan Adon,94,1,95.6,84.9,87.6,35.1,0.435,27.3,20
Jon Gray,2532,29,95.6,100.1,98.5,28.8,0.354,28.8,19.4
Matt Andriese,849,34,95.6,100,99.2,25.7,0.407,25.3,19.2
Travis Lakins Sr.,500,24,95.6,98.6,95.4,26.6,0.365,37.1,14.5
Spencer Howard,935,19,95.6,98.1,95.3,28.3,0.371,39.4,18
Brad Keller,2343,26,95.6,97.8,96.9,25.5,0.428,21.4,17.5
Tarik Skubal,2544,31,95.5,102.1,100.2,27.5,0.444,34.6,19.9
Sam Hentges,1260,30,95.5,94,93.6,24.9,0.41,19,21.5
Ty Tice,142,5,95.5,92.8,93.5,25.4,0.402,19,19.5
Conner Menez,247,8,95.5,101.8,94.9,26.3,0.36,29.2,17.1
Jhoulys Chacin,1065,46,95.4,98.7,97.7,25.2,0.336,22,18.1
Kohei Arihara,679,10,95.3,97.3,94.4,25.3,0.451,13.6,18.8
Peter Solomon,227,6,95.3,94.9,95,22,0.285,24.1,18.4
Evan Marshall,435,27,95.3,100.9,97.2,25.3,0.332,23.1,22.2
Tyler Anderson,2599,31,95.2,106.7,101.4,26.9,0.363,31.5,23.9
Marco Gonzales,2224,24,95.2,102.9,98,25.9,0.388,26.4,19.2
Sean Newcomb,669,32,95.2,93.4,94.8,25.1,0.362,40,17.7
Corey Oswalt,155,3,95.2,109,99.2,29.7,0.449,46.2,32.3
Garrett Richards,2323,40,95.1,98.2,97,25.4,0.392,22.5,18.8
Wil Crowe,2168,26,95.1,97.7,96.2,25.6,0.389,24.3,19.4
Luis Madero,213,6,95.1,93.5,92.1,23.5,0.366,17.5,12.5
Reiss Knehr,466,11,95.1,96.2,94.6,22.7,0.381,29.3,18
Trevor Richards,1050,52,95.1,98,97.3,29,0.4,36,21.9
Seranthony DomInguez,14,1,95,120.7,114.7,21.4,0.153,0,25
Edgar Garcia,281,11,95,94.6,94.4,27,0.393,15.6,19.3
Ashton Goudeau,563,16,95,100.5,95.5,22,0.294,17.7,19.2
Ian Gibaut,104,3,94.9,99.3,102.8,20.2,0.45,23.5,29.4
Wes Benjamin,458,13,94.9,100.9,98.6,24.5,0.377,35.8,14.9
Ross Detwiler,879,53,94.8,98.2,93.7,28.7,0.365,26.9,18.1
Kyle McGowin,516,27,94.8,98,99.9,29.1,0.325,32.9,22.4
Sean Poppen,405,24,94.7,98.4,95.8,32.6,0.427,17.9,21.3
Robert Gsellman,427,17,94.7,101.8,99.5,22.7,0.356,18.2,19.7
Jake McGee,871,62,94.6,106.8,103.4,25.4,0.334,29.4,21.3
Brett Anderson,1437,24,94.6,97.5,96.1,24.1,0.385,9.8,19.3
Ryan Hendrix,540,36,94.6,93.4,93.7,28.9,0.424,30.3,18.5
Wandy Peralta,777,55,94.6,100.3,95.1,28.4,0.338,29.7,29.6
Jake Jewell,215,10,94.5,105.7,101.5,28.4,0.422,35.3,25
Adonis Medina,137,4,94.5,90.8,93.8,27.7,0.291,30,20
Brody Koerner,52,2,94.5,79.4,78.8,17.3,0.312,11.1,5.6
Dellin Betances,21,1,94.5,62.8,72,19,0.239,0,14.3
Luis Oviedo,580,22,94.4,85.2,89.8,27.1,0.399,26.1,16.9
Adrian Morejon,80,2,94.4,104.5,110.2,30,0.405,47.1,20.4
Jason Adam,216,12,94.4,89.6,91.7,26.9,0.371,48,20.1
Justin Lawrence,324,19,94.4,89,93.2,27.2,0.352,18.8,14.2
Cody Ponce,712,15,94.3,103.4,99.2,28.4,0.404,23.4,23.4
Matt Manning,1421,18,94.3,101.1,98.1,24.2,0.376,21.1,18.1
Adrian Houser,2350,28,94.3,99.3,96.2,23.3,0.318,16.1,19.5
Kyle Hendricks,2771,32,94.3,106.5,99,27.6,0.375,22.1,23.9
Derek Holland,835,39,94.3,101.8,98.6,28.7,0.361,30.1,18.6
Hector Santiago,490,13,94.3,102.2,93.2,27.3,0.289,39.7,21.8
Andrew Chafin,944,71,94.3,102.5,99.1,28.2,0.313,23.8,24.7
Justin Topa,85,4,94.2,113.8,111.3,27.1,0.343,0,19
Jackson Kowar,631,9,94.2,91.3,89.5,25.5,0.442,22.2,15.3
Luke Weaver,1105,13,94.2,105.5,101.7,27.1,0.388,32,19.9
Cal Quantrill,2263,39,94.1,99.7,97.3,25.1,0.341,27.2,20.2
Carlos Carrasco,889,12,94.1,104,101,26.4,0.382,29.8,23
Fernando Abad,299,16,94.1,102.5,101,23.1,0.341,12.5,15.9
Justin Garza,503,21,94,95.1,97,26.4,0.456,33.3,16.7
Blake Taylor,747,51,94,93.2,96.8,24.9,0.309,28.3,18.3
