Player,Pitches,Appearances,Stuff+,Location+,Pitching+,CSW%,xwOBAcon,Z-Whiff%,Chase%
Jefry Rodriguez,412,14,94,92.4,92.6,22.3,0.396,18.9,16
Zach Thompson,1192,26,94,100.2,99.1,27,0.324,26.2,23.8
Connor Overton,273,9,93.9,105.3,101.2,27.1,0.374,24.4,23.1
Jesse Biddle,186,8,93.9,86.1,87.3,25.8,0.321,20,16.8
Chase De Jong,775,9,93.9,98.1,94.8,25.7,0.439,22.5,18
Matt Shoemaker,1061,16,93.8,98.5,93.8,25.2,0.395,21.3,21.5
Will Harris,134,8,93.8,101,97.9,23.9,0.458,29.4,22.6
Codi Heuer,1049,65,93.7,99.8,99.4,27.4,0.341,27,26.3
Bailey Falter,551,22,93.7,103,100.4,28.3,0.362,29.9,17
John Gant,1971,39,93.7,95.4,95,25.6,0.358,24.5,17.1
Zack Greinke,2553,30,93.7,102.6,99.9,26.8,0.358,17.3,23.3
Darien Nunez,126,6,93.5,96.4,99.5,27.8,0.426,50,17.7
Aaron Sanchez,591,9,93.5,95,92.7,24.9,0.302,22.2,17.2
Nestor Cortes,1524,22,93.5,102.3,100.5,26.6,0.35,33.3,17.8
Jesus Luzardo,1705,25,93.5,93.5,92.3,27.3,0.402,28.1,21.8
Trevor Cahill,661,9,93.5,97.8,96.8,26.5,0.372,25.7,21.3
Nick Tropeano,120,5,93.4,90.4,91.2,22.5,0.326,8.3,23.4
Nick Wittgren,1015,60,93.4,102.5,97.5,28.7,0.44,32.1,18.7
Cory Abbott,352,7,93.4,91.2,92.7,20.2,0.399,27.1,14.7
Logan Allen,873,14,93.4,95.5,96.1,24.4,0.418,25.3,16.2
Tyler Ivey,79,1,93.4,103.4,91.1,29.1,0.461,10,25
Aaron Ashby,532,13,93.4,99,103.8,33.5,0.325,26.9,23.9
Jose Alvarado,1042,64,93.3,90.9,96,31.6,0.325,31.5,18.7
Buck Farmer,723,36,93.3,96.3,91.3,26.4,0.427,37.4,18.7
Zach Eflin,1615,18,93.3,107.6,103,28.3,0.366,23.2,21
Aaron Slegers,563,29,93.3,100.6,99.7,26.8,0.359,19.6,23.6
Cam Bedrosian,467,26,93.2,95.7,96.7,25.1,0.407,23.8,17.5
Brandon Bielak,835,28,93.1,99.4,96.2,27.5,0.337,22.9,20.4
Duane Underwood Jr.,1176,43,93.1,98.9,96,27.9,0.388,23.6,18.6
JC Mejia,982,17,93.1,95.5,94.1,25.1,0.411,22.5,16.5
A.J. Cole,114,6,93,105.2,102,25.4,0.376,39.1,23.1
Alex McRae,49,2,93,101,92.4,26.5,0.464,28.6,27.6
Daniel Ponce de Leon,652,24,93,94.8,91.5,22.4,0.34,28.3,18.4
Dallas Keuchel,2720,32,93,99.2,96.3,25.4,0.39,18.5,21.9
Jake Petricka,135,7,93,86.7,93.7,26.7,0.452,20,17.7
Alec Mills,1933,32,92.9,103.4,98.5,25.9,0.367,18.6,20.8
Nick Neidert,597,8,92.9,96,91.4,23.5,0.348,30.6,13.7
Kent Emanuel,240,10,92.9,99,97.1,28.8,0.303,19,16.4
Julio Teheran,87,1,92.9,108.8,100,21.8,0.612,25,14.6
Ross Stripling,1683,24,92.9,103.4,95.8,26.5,0.399,29.8,20.4
Miles Mikolas,708,9,92.9,108,103.5,26.8,0.353,16.3,19.9
Braxton Garrett,603,8,92.9,95.5,92,27,0.405,24.2,18.4
Dylan Bundy,1513,23,92.9,100.3,93.8,29.9,0.376,21.3,21.5
Hyeon-jong Yang,592,12,92.8,94.7,92,23.1,0.44,21.2,18.7
Phillips Valdez,681,28,92.8,90.2,95.3,26.6,0.341,27.9,16.7
Daniel Lynch,1256,15,92.8,97.8,97.8,25.1,0.411,22.4,20.4
Merrill Kelly,2422,27,92.7,104.6,99.3,26.2,0.374,19.2,20.3
Oliver Perez,56,5,92.6,108.3,103.1,33.9,0.3,10,36
Javy Guerra,148,6,92.6,97.7,95,19.6,0.542,18.5,11.9
Ian Krol,349,18,92.6,96.2,95.8,24.4,0.34,20,20.9
Ian Anderson,2168,24,92.6,98.8,95.7,27.1,0.367,32.2,21.3
Bryan Garcia,731,39,92.5,90.2,88.9,22,0.458,25.2,17.4
Erasmo Ramirez,392,17,92.4,107.4,101.7,25,0.332,22.9,16.8
Matt Moore,1253,24,92.4,94.7,92.2,24.8,0.368,26.9,18
Sal Romano,431,19,92.4,99.8,94.3,22.5,0.409,16.9,14.3
Kevin Plawecki,2,1,92.3,82.2,36.9,0,NA,NA,0
Miguel Aguilar,104,9,92.3,103.3,101.5,21.2,0.251,23.1,23.9
Kyle Cody,209,7,92.3,99.1,94.9,28.7,0.458,25.6,19.8
Jordan Lyles,2955,32,92.3,100.3,97.4,26.4,0.397,23.5,21.1
Brett Martin,916,66,92.3,105.5,99.9,27,0.321,20.5,23.7
Tyler Beede,28,1,92.2,76.3,82.3,25,0.425,50,22.7
Joe Ross,1691,20,92.1,104.2,99.1,30,0.374,29.3,20.8
Jovani Moran,161,5,92.1,89,91.7,26.1,0.316,45,27.2
Kevin Ginkel,532,31,92.1,92.2,92.1,25.9,0.402,24.7,20.2
Steven Brault,497,7,92.1,97.8,96,23.7,0.394,23.1,21.6
Andrew Albers,364,5,92.1,101,96.1,22.8,0.499,14.8,12.5
Justus Sheffield,1460,21,92.1,94.3,92.7,25.1,0.427,16.9,17.3
Bailey Ober,1476,20,92,105.2,98.8,28.4,0.407,23.5,21.5
Johnny Cueto,1843,22,92,103.3,98.4,24.4,0.386,28,19.6
Gregory Santos,53,3,92,91.4,82.9,28.3,0.728,25,16.1
Sam Selman,490,25,92,99.8,97.6,23.7,0.35,40.3,15.7
Tyler Alexander,1636,41,91.9,105.9,100.1,25,0.358,27.1,22
Cesar Valdez,757,39,91.9,96.9,96,30.4,0.41,26.1,26.4
Drew Anderson,352,9,91.9,103.5,100.8,26.7,0.307,16.4,15.9
John Brebbia,312,18,91.8,107.8,95.8,27.2,0.374,36.8,16.5
Andre Scrubb,354,18,91.8,90.3,96,29.4,0.454,21.6,16.3
Michael Feliz,370,21,91.8,102.8,101.6,30.3,0.463,30.3,22.5
Pedro Strop,44,2,91.8,102.7,100.7,34.1,0.378,50,14.3
Cole Irvin,2676,32,91.8,104.5,98.4,24.8,0.375,24.8,21.7
Chase Anderson,849,14,91.7,99.6,96.7,25.8,0.385,31.8,20.1
Jimmy Lambert,246,4,91.7,93.7,92.8,19.9,0.455,34.2,15.6
Jaime Barria,854,13,91.7,98.4,97.6,23.5,0.39,18.1,21.5
Jon Heasley,250,3,91.6,101.6,98.3,20,0.409,15.8,15.6
Craig Stammen,1308,67,91.6,106.1,99.9,28.8,0.345,16.3,23.7
Riley Smith,1069,24,91.6,106.1,97.5,24.8,0.372,17.2,15.7
Pedro Avila,84,1,91.5,95.7,90.2,23.8,0.524,15.4,13.3
Martin Perez,1856,36,91.5,101.5,95.3,26.5,0.402,22.4,18.1
Jake Faria,639,23,91.5,94.7,91,26.6,0.355,25.5,17.8
Eric Lauer,1881,23,91.5,101,95.6,26.4,0.357,33.4,17.6
Archie Bradley,919,53,91.4,101.6,98,23.1,0.316,24.1,17.4
Scott Kazmir,206,5,91.4,95.3,97.4,23.3,0.47,15.2,21.5
Bruce Zimmermann,1095,14,91.4,98,97.7,27.2,0.439,26.3,20.7
Dean Kremer,985,13,91.4,99.2,94,23.8,0.432,24.1,15.8
Matthew Boyd,1270,15,91.3,102.3,99.8,27.4,0.349,29.4,21.1
Jose Urena,1688,26,91.3,96.3,95.5,23.9,0.385,21.3,21.2
Mitch Keller,1857,23,91.3,98.6,94.6,24.4,0.397,20.2,16.8
Paul Campbell,466,16,91.2,98.4,96.2,26.6,0.409,31.2,17
Jon Lester,2375,28,91.2,98.8,94.1,23.4,0.361,22.5,20.3
Michael Pineda,1701,22,91.1,106.6,101.3,27.9,0.394,20.7,25
Austin Davis,472,29,91.1,95.9,94,26.9,0.382,29.7,19.5
JT Brubaker,1940,24,91.1,101,96.9,28.8,0.392,23.2,23.5
Ervin Santana,1063,38,91.1,97.3,93.8,26.6,0.42,18.9,23.6
Joey Lucchesi,644,11,91.1,98.5,94.3,27.6,0.353,31.1,14.8
James Kaprielian,2024,24,91.1,99.6,96.2,28.4,0.384,34.2,21
Asher Wojciechowski,83,1,91,97.6,95.2,24.1,0.308,20,14.8
Josh Tomlin,776,34,91,103.5,95.4,25.6,0.414,24.4,28.7
Yefry RamIrez,23,1,90.9,103.2,104.4,26.1,0.219,60,23.1
Mike Wright Jr.,325,13,90.9,91.5,90.3,21.8,0.354,14,16.6
Hans Crouse,131,2,90.9,93.1,85.2,20.6,0.246,21.1,23.5
Zac Lowther,571,10,90.8,96,93.6,28.7,0.467,28.6,18.8
Stefan Crichton,401,31,90.8,93.4,89.7,24.2,0.355,18.6,17.4
Tanner Anderson,64,1,90.8,113.5,106.1,23.4,0.291,7.7,20
Jake Arrieta,1740,24,90.8,96.7,93.4,25.5,0.41,17.8,16.3
Kolby Allard,2052,32,90.8,101.4,96.6,25.6,0.395,24.3,17.6
Brandyn Sittinger,80,5,90.7,97.7,97.6,18.8,0.577,23.1,21.7
Francisco Perez,122,4,90.7,94.5,89.2,26.2,0.234,26.3,17.6
Nick Vincent,182,7,90.7,99.6,94.9,23.6,0.249,26.7,24.8
Eduardo Rodriguez,2717,32,90.7,105.7,101,28.1,0.363,35.4,21.9
Jake Odorizzi,1838,24,90.7,102.1,96.7,23.8,0.375,27.9,19.6
Dane Dunning,1904,27,90.6,100.4,95.7,28.7,0.383,22.6,20.9
Shawn Morimando,199,4,90.6,97.5,94.9,24.6,0.356,15.8,16.8
Ljay Newsome,268,7,90.6,109.5,103.7,25.4,0.462,35,14.5
Ryan Weathers,1615,30,90.6,99.8,94.1,25,0.387,24.3,14.4
Richard Bleier,681,68,90.5,109.5,99.8,27.6,0.317,18.5,25.2
Matt Harvey,2229,28,90.4,102.2,98.1,24.2,0.39,19.4,19.7
Antonio Senzatela,2403,28,90.4,102.3,98.3,25,0.35,20,18
Felix Pena,65,2,90.4,82.2,89.7,26.2,0.485,56.2,16.7
Brandon Waddell,213,9,90.4,96.1,90.5,23.9,0.481,25,16.4
Alex Young,899,40,90.4,99,93.6,26.8,0.409,26.7,23.3
Roel RamIrez,14,1,90.3,67.3,73.3,21.4,0.62,0,12.5
Spenser Watkins,960,16,90.2,98.8,96.6,22.8,0.422,17.3,18.3
Scott Alexander,259,18,90.2,101.3,101.3,25.5,0.293,25,22.2
David Hale,461,17,90.1,98.4,93.7,21,0.413,28.9,17.5
David Peterson,1120,15,90.1,97,93.7,27.3,0.43,29,18.9
Anthony Kay,649,11,90.1,96.4,96.3,24.7,0.408,30.6,18.9
Justin Miller,295,23,90.1,101.3,98,23.4,0.442,19.2,21.8
Domingo Acevedo,174,10,90,102.1,100.1,25.3,0.339,36.4,24.5
Chi Chi Gonzalez,1626,24,90,100.8,96,23.7,0.409,20.1,16.6
Ryan Buchter,293,18,90,91.6,87.8,24.9,0.418,30.2,17.8
Riley O'Brien,42,1,90,80.8,80.8,26.2,0.896,33.3,25.8
Jesse Hahn,87,5,90,85.5,88.3,21.8,0.488,27.3,8.6
Will Vest,603,32,89.9,96.9,93.6,25,0.368,33.7,19.1
Humberto Castellanos,699,13,89.9,100.7,98.9,25.5,0.329,19,13.3
Geoff Hartlieb,213,7,89.9,88.4,90.6,24.9,0.304,35.5,10.4
Angel Zerpa,68,1,89.9,95.5,90.5,25,0.312,15.4,15.4
Adam Kolarek,190,12,89.9,94.9,95.8,25.8,0.332,8.8,15.2
Adam Plutko,1014,38,89.9,94.3,93.3,21.7,0.419,33.7,18.9
Jon Duplantier,216,4,89.8,94.6,92.9,25,0.396,23.1,16.8
Ralph Garza,485,27,89.8,98.9,98.3,27.4,0.363,26,20.3
Bryse Wilson,1075,15,89.8,103.3,97.5,24,0.391,20.2,22.3
Wade LeBlanc,792,18,89.6,99.3,93.3,26,0.379,22.8,21.2
Demarcus Evans,522,25,89.5,93.1,92.9,25.5,0.33,34.9,17.2
Adrian Sampson,554,10,89.5,96.7,92.9,22.4,0.371,24.2,19.1
Humberto Mejia,421,5,89.4,100.6,95.7,22.8,0.425,24.6,21
Miguel Del Pozo,80,5,89.3,93.9,90.9,30,0.368,27.8,18.2
Drew Carlton,73,4,89.3,93.1,86.1,15.1,0.392,21.4,13
R.J. Alaniz,70,3,89.3,95.3,90.8,27.1,0.54,33.3,13
Paul Blackburn,681,9,89.2,101,96.6,23.6,0.381,10.2,17.1
Josh Rogers,533,6,89.1,97.7,92.3,24.4,0.382,14.9,19.2
Cionel Perez,450,25,89.1,90.8,89.7,27.1,0.325,29.9,15.5
Zach Plesac,2204,25,89.1,102.6,96.4,26.4,0.361,25.5,22.5
Jonathan Stiever,15,1,89,89.8,89.4,20,0.724,25,11.1
Enyel De Los Santos,696,33,89,100.5,94.2,26.9,0.418,49.6,21.9
Gabe Speier,105,7,89,103.1,103.2,29.5,0.272,18.2,29.6
Jesus Tinoco,32,1,88.9,74.5,79.1,21.9,0.833,14.3,21.1
Chasen Shreve,932,57,88.8,102.2,97.7,24.9,0.306,24.6,22.5
Dillon Peters,443,6,88.8,99.5,94.4,27.3,0.355,31.6,16.7
Peter Lambert,123,2,88.8,104.2,100.8,24.4,0.379,28,16.7
Dakota Hudson,131,2,88.7,101.3,95.6,22.1,0.228,10,20.3
Tyler Gilbert,600,9,88.6,102.8,97.2,23,0.313,20.3,17.2
Anthony Swarzak,199,13,88.6,103.4,97,26.6,0.472,17.9,20.6
Jesse Chavez,481,29,88.6,106,100,29.3,0.342,22.7,17.2
Tommy Milone,239,6,88.5,101.4,90.2,28,0.44,25,24
Ryan Meisinger,148,7,88.4,94.1,86.5,25,0.262,25,22.9
Daniel Camarena,153,5,88.3,106.6,100.1,23.5,0.458,26.3,13
David Hess,367,15,88.2,95.3,92.3,23.4,0.489,29.3,17.9
Daulton Jefferies,220,5,88.2,101.7,94.6,23.2,0.31,18.4,19.8
Sam Moll,167,8,88.2,93.9,98.3,28.7,0.292,7.7,12.5
Mac Sceroler,198,5,88,89.1,85.3,26.3,0.53,33.3,21.5
Packy Naughton,383,7,88,100.7,94.5,24,0.333,25,23.5
Colin Rea,91,1,88,100.5,93.1,24.2,0.423,16.7,22.2
Sean Nolin,497,10,88,99.1,95.4,24.1,0.311,23.4,14.8
Patrick Corbin,2732,31,88,100,93.4,26.5,0.406,17.8,23.8
Mike Kickham,45,1,87.9,85.1,86.9,20,0.315,33.3,13
Austin Brice,273,13,87.8,91,88.6,24.9,0.335,31,14.3
David Price,1178,39,87.7,103.6,96.2,26.7,0.336,30,18.9
Kyle Wright,133,2,87.6,75.2,80.2,27.8,0.494,26.9,11.1
Jace Fry,136,6,87.5,87.4,85.8,21.3,0.323,30.8,19.6
Jake Woodford,1154,26,87.5,97.2,92.6,25,0.346,22.4,17
Trevor Williams,1531,23,87.5,105.1,98.1,26.8,0.375,28.2,21.1
Darin Ruf,21,1,87.4,103.7,71.7,14.3,0.462,0,10
Justin Turner,1,1,87.4,46.2,117.4,0,NA,NA,0
Andre Jackson,199,3,87.4,93.2,91.9,26.6,0.306,33.3,21.1
Alex Claudio,580,41,87.3,97.5,94.1,28.1,0.375,24.4,22.2
Jake Newberry,100,4,87.3,94.4,95.2,25,0.555,38.5,22.7
Jhon Romero,78,5,87.3,106.2,100.9,24.4,0.265,30,29.8
Ben Bowden,672,39,87.3,95.4,89.3,27.7,0.375,36.3,16.5
Thomas Szapucki,82,1,87.3,86.8,81.2,24.4,0.624,36.4,19.6
Carlos Martinez,1276,16,87.2,98.7,95.1,25.6,0.385,18.3,18.8
Ben Rowen,198,8,87.2,101.3,96.3,29.3,0.338,25,11.9
David Paulino,32,1,87,91.3,87,18.8,0.466,16.7,22.2
Jharel Cotton,541,23,86.9,98.8,88.4,26.6,0.276,38,21.4
Brett de Geus,905,47,86.9,96.6,92.3,24.3,0.379,16.1,17
Joe Ryan,412,5,86.9,104.6,97.3,29.6,0.356,38,19.4
Rony GarcIa,56,2,86.9,92.9,92.8,26.8,0.5,12.5,6.7
Travis Bergen,187,10,86.9,96.7,93.8,23,0.277,30,15.5
Robert Stock,168,3,86.8,90.1,84.8,28,0.436,28.6,15.2
Anthony Rizzo,4,1,86.8,73.6,88.7,25,NA,100,0
Deivi GarcIa,153,2,86.8,92.2,94.5,28.1,0.434,29.2,21.6
Drew Hutchison,339,9,86.7,97.6,92.1,21.5,0.366,18.6,19.3
Jordan Zimmermann,82,2,86.7,93.9,83.5,13.4,0.417,5.3,14.3
J.B. Bukauskas,285,21,86.7,102.8,98.2,27.7,0.395,14.8,24.3
Jerad Eickhoff,357,5,86.6,92.6,88,21.8,0.48,18.8,20.9
Thomas Eshelman,440,9,86.5,103,90.4,24.5,0.343,12.4,17.6
John Axford,22,1,86.5,99,93.2,18.2,0.303,0,12.5
Zach Davies,2575,32,86.5,99,93.4,25.9,0.41,21.3,19.5
Brandon Kintzler,510,29,86.4,101.8,96.3,25.3,0.425,15.2,15.7
Luis Avilan,107,4,86.3,80.7,82.6,18.7,0.378,21.1,11.3
Jose Quintana,1233,29,86.3,98.6,93.4,27.7,0.436,30.6,20.9
Daniel Castano,332,5,86.2,97.7,93.9,22.6,0.403,15.6,19
Tyler Webb,389,22,86.2,96.7,90.6,23.1,0.348,26.7,13.3
J.A. Happ,2674,30,86.1,100.1,93.3,22.9,0.402,23.2,19.3
Oliver Ortega,139,8,86.1,98.6,97.3,24.5,0.272,0,16.7
Adam Eaton,21,1,86.1,91.1,111.1,19,0.168,50,30.8
Kyle Freeland,1883,23,86,100.5,94.3,26.7,0.355,20.1,19.8
Luke Maile,8,1,85.8,94.8,81.2,12.5,0.033,0,40
Zack Godley,88,2,85.8,85.4,84.6,26.1,0.493,41.7,16.4
JoJo Romero,171,11,85.7,105.4,89.5,25.1,0.41,30,19.4
Alexander Wells,754,11,85.6,97.3,94.5,26.5,0.406,19.3,15.2
Kris Bubic,2190,29,85.4,97.5,92.7,27,0.386,26.2,18.7
Sam Clay,802,58,85.3,97.6,91,25.4,0.352,18,20
Alec Bettinger,199,4,85.3,95.7,89.6,19.6,0.381,15.8,14.4
Yennsy Diaz,447,20,85.2,98.9,94.1,25.3,0.34,29.1,14.8
Ryan Hartman,46,1,85.1,99.4,85.1,28.3,0.371,33.3,13.3
Dan Altavilla,22,2,85.1,121,118.9,31.8,0.682,0,9.1
Hoby Milner,393,19,85.1,108.3,95.1,31.8,0.535,20.7,23.6
Keury Mella,50,2,85.1,88.2,85.1,20,0.55,27.3,13.8
Darren McCaughan,147,2,85.1,92.5,84.9,25.2,0.279,9.1,14.1
Carl Edwards Jr.,110,7,84.9,85,90.9,25.5,0.4,22.7,20
AJ Ramos,62,4,84.8,95,94.4,27.4,0.1,36.4,23.1
Kyle Dohy,20,1,84.8,69.7,71.6,15,0.259,0,13.3
Brandon Workman,514,29,84.6,93.8,89.2,29,0.436,22.7,16.6
Nick Maton,4,1,84.5,93.4,113.2,75,NA,NA,75
Josh Osich,230,17,84.1,94.1,92.9,23.9,0.29,22.5,21.2
Nick Allgeyer,14,1,83.8,93,95.5,28.6,0.197,33.3,20
Jake Latz,84,1,83.7,105.1,92.8,26.2,0.37,15.4,21.6
Wyatt Mills,229,11,83.4,100.4,94.6,27.1,0.37,14.7,19.9
Nivaldo Rodriguez,114,4,83.3,87.3,84.2,19.3,0.503,16.7,12.3
Nick Ramirez,313,13,83,100.4,95.2,25.2,0.33,18.8,20.7
Seth Frankoff,259,4,83,91.1,85.3,19.7,0.361,13,18.1
Josh Lindblom,340,8,82.5,94.5,87.7,26.2,0.517,32.7,14.7
Robert Dugger,461,12,82.2,101.6,97.9,29.3,0.389,27.1,19.9
Scott Blewett,92,3,82.1,78.8,81.2,15.2,0.472,0,15.3
Charlie Barnes,655,9,81.9,96.6,90.8,23.2,0.368,14.2,17.9
Beau Burrows,266,6,81.9,94.9,84.3,19.9,0.521,29.7,15.1
Tanner Roark,131,3,81.5,95.3,95,22.9,0.487,22.2,18.3
Kevin Pillar,6,1,81.4,94.5,107.9,16.7,0.062,0,25
Sergio Alcantara,4,1,81.4,95.5,105,0,0.096,NA,50
Brent Honeywell Jr,77,3,81.2,95.9,89.1,20.8,0.547,28.6,12.5
Matt Peacock,1236,34,81.1,100.9,93,24.1,0.334,16.6,19.5
Dusten Knight,186,7,80.8,94.4,95.3,29.6,0.371,35.7,20.7
Zack Britton,326,21,80.7,87.9,91.2,23,0.255,22.2,20.8
Noah Syndergaard,26,2,80.7,110.1,102.4,26.9,0.503,0,23.1
Reymin Guduan,229,11,79.9,97.2,98.2,25.8,0.42,12.5,23.6
Sandy Leon,56,6,79.5,93.9,95.7,23.2,0.295,7.1,22.6
Shea Spitzbarth,82,5,79.2,93.8,90.1,17.1,0.336,6.7,9.3
Kyle Lobstein,34,3,79,87.4,76,20.6,0.471,33.3,10
Kevin Quackenbush,20,1,78.4,105,88.1,25,0.416,33.3,16.7
Konner Wade,248,7,77.7,104.8,96.3,27.4,0.414,29.4,16.1
Mike Fiers,152,2,77.3,92.8,91.2,21.7,0.433,14.3,10
Vinny Nittoli,26,1,77,72.3,79.5,19.2,0.785,40,9.5
Randy Dobnak,764,14,77,98.5,86.5,23.4,0.425,9.3,21.8
Kyle Ryan,215,13,76,101.2,82.3,25.6,0.37,15.4,16.5
Javy Guerra,66,4,76,88.4,86.3,13.6,0.332,25,18.9
Mickey Jannis,14,1,76,74.5,88.5,21.4,0.423,0,12.5
Blaine Hardy,31,1,75.9,98.4,86.9,12.9,0.281,33.3,13.6
Asdrubal Cabrera,1,1,73.9,43.4,62.2,0,NA,NA,0
Brandon Drury,27,1,73.2,73.4,78.5,22.2,0.641,33.3,27.3
Pedro Baez,59,4,72.6,89.2,95.7,23.7,0.427,45.5,21.2
Aaron Northcraft,129,5,72.2,87.5,91.4,23.3,0.438,25,21.2
Eric Yardley,310,17,71.5,89.2,82.2,22.3,0.326,8.3,18.7
Ryan Weber,160,4,71,95.4,83.3,30.6,0.533,23.3,19.8
Jimmy Herget,282,18,70.1,93.9,91,33.3,0.359,26.5,24.9
Brandon Brennan,42,1,69.1,102.6,93.8,23.8,0.275,25,25.9
Max Schrock,8,1,67.9,101,117.2,25,0.505,0,25
Ryan Castellani,65,1,67,81.4,81,20,0.568,0,15
Aaron Fletcher,86,4,66.3,104.9,85.8,31.4,0.37,30,18.4
Bernardo Flores Jr.,12,1,66,43.5,50.8,8.3,0.513,0,0
Ka'ai Tom,1,1,65.8,47.9,65.8,0,NA,NA,0
Trevor Hildenberger,58,2,63.7,75.9,81.8,25.9,0.496,0,19.5
Jay Flaa,61,2,61.1,79.9,78.9,27.9,0.516,42.9,26.8
Jake Rogers,17,1,58.5,104.6,81.4,23.5,0.492,20,14.3
Jordan Luplow,18,1,54.2,57,81.7,11.1,0.368,0,8.3
Matt Carpenter,21,1,52.8,87.3,92.3,28.6,0.616,0,16.7
YermIn Mercedes,2,1,41.9,48.6,62.6,0,NA,NA,0
Andy Burns,17,1,39.1,98.5,54.2,23.5,0.869,33.3,16.7
Eric Sogard,48,4,36.4,87.7,81.3,18.8,0.327,0,20
Jace Peterson,40,2,28.4,68.1,99.6,25,0.394,0,24.1
Alex Blandino,1,1,27.7,118.6,108.7,0,NA,NA,0
Robel GarcIa,7,1,19.5,97.4,59.5,0,0.434,NA,33.3
Wilmer Difo,1,1,-5.2,49.9,64.7,0,NA,NA,0
Andrew Romine,15,1,-20.8,102.8,60.4,40,0.579,33.3,33.3
Francisco MejIa,28,2,-29.1,60.5,15.1,21.4,0.427,0,36.8
Bryan Holaday,2,1,-48.4,-97,-15.4,0,0.289,0,0
Wyatt Mathisen,2,1,-72.5,109.1,57.6,0,0.273,0,0
John Nogowski,10,3,-104.3,95.3,26.6,40,0.38,0,50
Austin Wynns,9,1,-242.2,77.4,71,22.2,0.706,0,20